id,name,latitude,longitude,x,y,type,image_path,open_time,close_time,description
1,The Grand Palace,13.7501,100.492,224,494,Attraction,The Grand Palace.jpg,8:30,16:30,The FlowerMarket (Pak Khrong Talad) is one of the biggest flower/vegetable markets in Bangkok.  This is a 24/7 market where all the chaotic scenes of loading and trading happen after mid night.  It becomes more calm and tourist friendly during the day. 
2,Tha Maharaj,13.7547,100.49,176,392,Attraction,Tha Maharaj.jpg,10:00,23:00," The Giant Swing was used for the Lo-Chin-Cha (ìpulling the swingî) ceremony, which was stopped in 1935 due to several fatal accidents.  You will understand why, when you see the size of this swing."
3,Wat Pho,13.7465,100.493,248,574,Attraction,Wat Pho.jpg,8:30,18:30,Walk up to the top of the Golden Mount to see the view around the Grand Palace area and Bangkok old town.  The waiting area of Golden Mount area is quite chill (literally).
4,MuseumSiam,13.7441,100.494,271,627,Attraction,MuseumSiam.jpg,10:00,18:00," The Grand Palace was built by King Rama I when the capital city was moved from Thonburi.  Although the royal family no longer lives in the Grand Palace, it is still used for several official ceremonies.  You need to dress appropriately. (see FAQ www.tuktukhop.com) "
5,FlowerMarket,13.7418,100.497,343,678,Attraction,FlowerMarket.jpg,0:00,23:00,"Khao San means rice, and Khao San Road was once the largest rice market in Bangkok.  Today, it has transformed into a little tourist town in Bangkok (with a similar feeling to Pattaya and Phuket).  Everything in Khao San Road is geared toward tourists: international food, tattoo shops, clubs, bars hostels, etc.  It is worth a visit, even for Thais."
6,Giant Swing,13.7518,100.501,439,456,Attraction,Giant Swing.jpg,0:00,23:00,"You can see the King Rama V monument and Royal Plaza from the front of Ananta Samakom Throne Hall.  King Rama V was one of the greatest kings of Thailand - he founded the first university in Thailand, established sanitary districts, established monthon system (provincial boundaries), etc."
7,National Museum,13.7574,100.492,224,333,Attraction,National Museum.jpg,9:00,16:00,"The Marble Temple has a unique architecture.  It was constructed from the leftover Italian marbles from the building of Ananta Samakom Throne Hall .  The marble keeps the temple nice and cool, even in hot weather.  You might recognize this temple from The Amazing Race 9. Photo by Krissanapong Wongsawarng"
8,KhaoSanRoad,13.7577,100.498,367,326,Attraction,KhaoSanRoad.jpg,0:00,23:00,"Museum Siam  is a relatively new museum with the concept of Play + Learn = Plearn (Plearn in Thai ‡æ≈‘π = having fun, enjoying the moment).  In addition to edutainment, there are many funky/cool art displays throughout the museum.  Unlike the National Museum and Rattanakosin Exhibition Hall, Museum Siam is very interactive and engaging."
9,Rattanakosin Exhibition Hall,13.748,100.503,487,540,Attraction,Rattanakosin Exhibition Hall.jpg,10:00,19:00,The National Museum  has many important artifacts including the first stone inscription of King Ram Khamhaeng and Rama I's chariot.  The museum offers audio tours and a free guided tour in English.
10,GoldenMount,13.7539,100.507,583,410,Attraction,GoldenMount.jpg,9:00,19:00,"The Rattanakosin Exhibition Hall  is packed with high-quality exhibitions.  This is a modern museum focusing on the Rattanakosin era (which started when King Rama I (1737-1809) reigned over Thailand).  
You need to sign up for a two-hour guided tour, which starts every 20 mins, starting from 10AM."
