id,line,from_place_id,to_place_id,departure_time,arrival_time,distance,speed,status
1,1,2,3,8:00,8:16,19900,75,UNAVAILABLE
2,1,3,5,8:18,8:24,6310,75,AVAILABLE
3,1,5,15,8:26,8:33,8570,75,AVAILABLE
4,1,15,7,8:35,8:45,11300,75,AVAILABLE
5,1,7,9,8:47,8:53,7050,75,AVAILABLE
6,1,9,10,8:55,8:58,3580,75,AVAILABLE
7,1,10,17,9:00,9:04,4860,75,AVAILABLE
8,1,17,2,9:06,9:11,5970,75,AVAILABLE
9,2,2,11,8:45,8:50,5970,75,AVAILABLE
10,2,11,10,8:52,8:56,4860,75,AVAILABLE
11,2,10,9,8:58,9:01,3580,75,AVAILABLE
12,2,9,16,9:03,9:09,7050,75,AVAILABLE
13,2,16,6,9:11,9:21,11300,75,AVAILABLE
14,2,6,5,9:23,9:30,8570,75,AVAILABLE
15,2,5,3,9:32,9:38,6310,75,AVAILABLE
16,2,3,2,9:40,9:56,19900,75,AVAILABLE
17,1,2,3,9:30,9:46,19900,75,AVAILABLE
18,1,3,5,9:48,9:54,6310,75,AVAILABLE
19,1,5,15,9:56,10:03,8570,75,AVAILABLE
20,1,15,7,10:05,10:15,11300,75,AVAILABLE
21,1,7,9,10:17,10:23,7050,75,AVAILABLE
22,1,9,10,10:25,10:28,3580,75,AVAILABLE
23,1,10,17,10:30,10:34,4860,75,AVAILABLE
24,1,17,2,10:36,10:41,5970,75,AVAILABLE
25,2,2,11,10:15,10:20,5970,75,AVAILABLE
26,2,11,10,10:22,10:26,4860,75,AVAILABLE
27,2,10,9,10:28,10:31,3580,75,AVAILABLE
28,2,9,16,10:33,10:39,7050,75,AVAILABLE
29,2,16,6,10:41,10:51,11300,75,AVAILABLE
30,2,6,5,10:53,11:00,8570,75,AVAILABLE
31,2,5,3,11:02,11:08,6310,75,AVAILABLE
32,2,3,2,11:10,11:26,19900,75,AVAILABLE
33,1,2,3,11:00,11:16,19900,75,AVAILABLE
34,1,3,5,11:18,11:24,6310,75,AVAILABLE
35,1,5,15,11:26,11:33,8570,75,AVAILABLE
36,1,15,7,11:35,11:45,11300,75,AVAILABLE
37,1,7,9,11:47,11:53,7050,75,AVAILABLE
38,1,9,10,11:55,11:58,3580,75,AVAILABLE
39,1,10,17,12:00,12:04,4860,75,UNAVAILABLE
40,1,17,2,12:06,12:11,5970,75,AVAILABLE
41,2,2,11,11:45,11:50,5970,75,AVAILABLE
42,2,11,10,11:52,11:56,4860,75,AVAILABLE
43,2,10,9,11:58,12:01,3580,75,AVAILABLE
44,2,9,16,12:03,12:09,7050,75,AVAILABLE
45,2,16,6,12:11,12:21,11300,75,AVAILABLE
46,2,6,5,12:23,12:30,8570,75,AVAILABLE
47,2,5,3,12:32,12:38,6310,75,AVAILABLE
48,2,3,2,12:40,12:56,19900,75,AVAILABLE
49,1,2,3,12:30,12:46,19900,75,AVAILABLE
50,1,3,5,12:48,12:54,6310,75,AVAILABLE
51,1,5,15,12:56,13:03,8570,75,AVAILABLE
52,1,15,7,13:05,13:15,11300,75,AVAILABLE
53,1,7,9,13:17,13:23,7050,75,AVAILABLE
54,1,9,10,13:25,13:28,3580,75,AVAILABLE
55,1,10,17,13:30,13:34,4860,75,AVAILABLE
56,1,17,2,13:36,13:41,5970,75,AVAILABLE
57,2,2,11,13:15,13:20,5970,75,AVAILABLE
58,2,11,10,13:22,13:26,4860,75,AVAILABLE
59,2,10,9,13:28,13:31,3580,75,AVAILABLE
60,2,9,16,13:33,13:39,7050,75,AVAILABLE
61,2,16,6,13:41,13:51,11300,75,AVAILABLE
62,2,6,5,13:53,14:00,8570,75,AVAILABLE
63,2,5,3,14:02,14:08,6310,75,AVAILABLE
64,2,3,2,14:10,14:26,19900,75,AVAILABLE
65,1,2,3,14:00,14:16,19900,75,AVAILABLE
66,1,3,5,14:18,14:24,6310,75,AVAILABLE
67,1,5,15,14:26,14:33,8570,75,AVAILABLE
68,1,15,7,14:35,14:45,11300,75,UNAVAILABLE
69,1,7,9,14:47,14:53,7050,75,AVAILABLE
70,1,9,10,14:55,14:58,3580,75,AVAILABLE
71,1,10,17,15:00,15:04,4860,75,AVAILABLE
72,1,17,2,15:06,15:11,5970,75,AVAILABLE
73,2,2,11,14:45,14:50,5970,75,AVAILABLE
74,2,11,10,14:52,14:56,4860,75,AVAILABLE
75,2,10,9,14:58,15:01,3580,75,AVAILABLE
76,2,9,16,15:03,15:09,7050,75,AVAILABLE
